type,prix,surface,nb_pieces,localisation,details
Appartement,730 500 €,78 m²,4 pièces,Paris 15 (75015),Ascenseur • Sous-sol • 1 cave • 2 salles d'eau
Appartement,1 150 000 €,91 m²,4 pièces,Paris 18 (75018),Cheminée • 3 caves • 1 salle de bain • 1 salle d'eau
Appartement,1 150 000 €,91 m²,4 pièces,Paris 18 (75018),Cheminée • 3 caves • 1 salle de bain • 1 salle d'eau
Appartement,180 000 €,14 m²,1 pièces,Paris 11 (75011),1 salle d'eau
Appartement,3 270 000 €,192 m²,5 pièces,Paris 08 (75008),Cheminée • Ascenseur • 1 cave • 1 salle de bain
Appartement,410 000 €,38 m²,2 pièces,Paris 12 (75012),1 cave • 1 salle d'eau
Appartement,455 000 €,53 m²,2 pièces,Paris 14 (75014),1 cave • 1 salle d'eau
Appartement,509 500 €,44 m²,2 pièces,Paris 16 (75016),Ascenseur • 1 cave • 1 salle de bain • Balcon
Appartement,899 000 €,130 m²,5 pièces,Montreuil (93100),Cheminée • 1 salle de bain • 1 salle d'eau • Balcon
Appartement,899 000 €,130 m²,5 pièces,Paris (75019),Cheminée • 1 salle de bain • 1 salle d'eau • Balcon
Appartement,899 000 €,130 m²,5 pièces,Paris (75018),Cheminée • 1 salle de bain • 1 salle d'eau • Balcon
Appartement,899 000 €,130 m²,5 pièces,Paris (75018),Cheminée • 1 salle de bain • 1 salle d'eau • Balcon
Appartement,525 000 €,58 m²,3 pièces,Paris 13 (75013),Terrasse • Ascenseur • 1 cave • 1 salle de bain
Appartement,525 000 €,58 m²,2 pièces,Paris 13 (75013),Terrasse • Ascenseur • 1 cave • 1 salle de bain
Appartement,357 000 €,37 m²,2 pièces,Paris 14 (75014),1 cave • 1 salle de bain
Appartement,295 000 €,30 m²,1 pièces,Paris 12 (75012),1 salle d'eau
Appartement,1 042 000 €,83 m²,4 pièces,Paris 09 (75009),1 cave • 1 salle de bain • 1 salle d'eau
Appartement,645 000 €,82 m²,3 pièces,Paris 09 (75009),1 salle d'eau
Appartement,475 000 €,52 m²,3 pièces,Paris 15 (75015),Ascenseur • 1 cave • 1 salle de bain
Maison,1 400 000 €,126 m²,6 pièces,Paris 19 (75019),Terrasse • 2 salles de bain
Appartement,617 000 €,60 m²,4 pièces,Paris 15 (75015),Cheminée • Ascenseur • 1 cave • 1 salle d'eau
Appartement,430 000 €,46 m²,2 pièces,Paris 11 (75011),Sous-sol • 1 salle de bain
Appartement,925 000 €,97 m²,5 pièces,Paris 09 (75009),1 salle d'eau
Appartement,925 000 €,112 m²,5 pièces,Paris 11 (75011),Terrasse • Accès handicapé • Ascenseur • Sous-sol
Appartement,609 000 €,86 m²,4 pièces,Paris 20 (75020),
Appartement,609 000 €,86 m²,4 pièces,Paris 20 (75020),
Appartement,115 500 €,9 m²,1 pièces,Paris 05 (75005),Ascenseur • 1 salle de bain
Appartement,819 000 €,84 m²,4 pièces,Paris 11 (75011),Cheminée • 1 cave • 2 salles de bain
Appartement,699 000 €,76 m²,5 pièces,Paris 16 (75016),Ascenseur • 1 cave • 1 salle de bain • Balcon
Appartement,699 000 €,76 m²,4 pièces,Paris 16 (75016),Ascenseur • 1 cave • 1 salle de bain • Balcon
